base,rounds,frac,yes_mid
ethereum,100,0.18181818181818182,0.5599999999999999
ethereum,100,0.19191919191919193,0.565
ethereum,100,0.20202020202020204,0.565
ethereum,100,0.21212121212121213,0.565
ethereum,100,0.22222222222222224,0.5616666666666666
ethereum,100,0.23232323232323235,0.5616666666666666
ethereum,100,0.24242424242424243,0.5616666666666666
ethereum,100,0.25252525252525254,0.5616666666666666
ethereum,100,0.26262626262626265,0.5650000000000001
ethereum,100,0.27272727272727276,0.5616666666666666
ethereum,100,0.2828282828282829,0.5616666666666666
ethereum,100,0.29292929292929293,0.5650000000000001
ethereum,100,0.30303030303030304,0.5650000000000001
ethereum,100,0.31313131313131315,0.5650000000000001
ethereum,100,0.32323232323232326,0.5650000000000001
ethereum,100,0.33333333333333337,0.5650000000000001
ethereum,100,0.3434343434343435,0.5650000000000001
ethereum,100,0.3535353535353536,0.5650000000000001
ethereum,100,0.36363636363636365,0.5650000000000001
ethereum,100,0.37373737373737376,0.5650000000000001
ethereum,100,0.38383838383838387,0.5599999999999999
ethereum,100,0.393939393939394,0.5616666666666666
ethereum,100,0.4040404040404041,0.5616666666666666
ethereum,100,0.4141414141414142,0.5616666666666666
ethereum,100,0.42424242424242425,0.5616666666666666
ethereum,100,0.43434343434343436,0.5616666666666666
ethereum,100,0.4444444444444445,0.5616666666666666
ethereum,100,0.4545454545454546,0.5616666666666666
ethereum,100,0.4646464646464647,0.5583333333333333
ethereum,100,0.4747474747474748,0.5583333333333333
ethereum,100,0.48484848484848486,0.5583333333333333
ethereum,100,0.494949494949495,0.5583333333333333
ethereum,100,0.5050505050505051,0.5583333333333333
ethereum,100,0.5151515151515152,0.5583333333333333
ethereum,100,0.5252525252525253,0.5583333333333333
ethereum,100,0.5353535353535354,0.5583333333333333
ethereum,100,0.5454545454545455,0.5583333333333333
ethereum,100,0.5555555555555556,0.5583333333333333
ethereum,100,0.5656565656565657,0.5583333333333333
ethereum,100,0.5757575757575758,0.5583333333333333
ethereum,100,0.5858585858585859,0.5583333333333333
ethereum,100,0.595959595959596,0.555
ethereum,100,0.6060606060606061,0.555
ethereum,100,0.6161616161616162,0.555
ethereum,100,0.6262626262626263,0.55
ethereum,100,0.6363636363636365,0.55
ethereum,100,0.6464646464646465,0.55
ethereum,100,0.6565656565656566,0.55
ethereum,100,0.6666666666666667,0.55
ethereum,100,0.6767676767676768,0.5466666666666666
ethereum,100,0.686868686868687,0.5416666666666666
ethereum,100,0.696969696969697,0.5416666666666666
ethereum,100,0.7070707070707072,0.5399999999999999
ethereum,100,0.7171717171717172,0.5399999999999999
ethereum,100,0.7272727272727273,0.5366666666666667
ethereum,100,0.7373737373737375,0.5266666666666666
ethereum,100,0.7474747474747475,0.5266666666666666
ethereum,100,0.7575757575757577,0.5266666666666666
ethereum,100,0.7676767676767677,0.5
ethereum,100,0.7777777777777778,0.4766666666666666
ethereum,100,0.787878787878788,0.47333333333333333
